Years,SCseg,Shp,ShpRANK
25,PROD,A,3rd
25,PROD,B,2nd
25,PROD,C,1st
25,PROD,D,4th
30,PRODTRAD,A,2nd
30,PRODTRAD,B,1st
30,PRODTRAD,C,3rd
30,PRODTRAD,D,4th
12,TRAD,A,3rd
12,TRAD,B,2nd
12,TRAD,C,1st
12,TRAD,D,4th
32,PROD,A,3rd
32,PROD,B,1st
32,PROD,C,2nd
32,PROD,D,4th
35,PROD,A,3rd
35,PROD,B,1st
35,PROD,C,2nd
35,PROD,D,4th
32,PROD,A,1st
32,PROD,B,2nd
32,PROD,C,3rd
32,PROD,D,4th
6,PROD,A,3rd
6,PROD,B,2nd
6,PROD,C,1st
6,PROD,D,4th
15,TRAD,A,4th
15,TRAD,B,3rd
15,TRAD,C,1st
15,TRAD,D,2nd
35,PROD,A,4th
35,PROD,B,2nd
35,PROD,C,1st
35,PROD,D,3rd
30,PROD,A,3rd
30,PROD,B,1st
30,PROD,C,2nd
30,PROD,D,4th
30,PROD,A,2nd
30,PROD,B,1st
30,PROD,C,3rd
30,PROD,D,4th
15,TRAD,A,1st
15,TRAD,B,2nd
15,TRAD,C,3rd
15,TRAD,D,4th
4,PROD,A,3rd
4,PROD,B,1st
4,PROD,C,2nd
4,PROD,D,4th
15,PROD,A,2nd
15,PROD,B,1st
15,PROD,C,3rd
15,PROD,D,4th
40,PRODTRAD,A,1st
40,PRODTRAD,B,2nd
40,PRODTRAD,C,3rd
40,PRODTRAD,D,4th
10,PROD,A,3rd
10,PROD,B,1st
10,PROD,C,2nd
10,PROD,D,4th
37,PRODTRAD,A,1st
37,PRODTRAD,B,2nd
37,PRODTRAD,C,3rd
37,PRODTRAD,D,4th
25,PRODTRAD,A,2nd
25,PRODTRAD,B,1st
25,PRODTRAD,C,3rd
25,PRODTRAD,D,4th
9,PRODTRAD,A,3rd
9,PRODTRAD,B,1st
9,PRODTRAD,C,2nd
9,PRODTRAD,D,4th
20,PRODTRAD,A,2nd
20,PRODTRAD,B,1st
20,PRODTRAD,C,3rd
20,PRODTRAD,D,4th
17,PRODTRAD,A,3rd
17,PRODTRAD,B,1st
17,PRODTRAD,C,2nd
17,PRODTRAD,D,4th
20,TRAD,A,4th
20,TRAD,B,3rd
20,TRAD,C,2nd
20,TRAD,D,1st
3,TRAD,A,3rd
3,TRAD,B,1st
3,TRAD,C,2nd
3,TRAD,D,4th
44,PROD,A,4th
44,PROD,B,1st
44,PROD,C,2nd
44,PROD,D,3rd
17,PROD,A,3rd
17,PROD,B,1st
17,PROD,C,2nd
17,PROD,D,4th
15,TRAD,A,2nd
15,TRAD,B,1st
15,TRAD,C,3rd
15,TRAD,D,4th
2,TRAD,A,4th
2,TRAD,B,2nd
2,TRAD,C,1st
2,TRAD,D,3rd
6,TRAD,A,4th
6,TRAD,B,2nd
6,TRAD,C,1st
6,TRAD,D,3rd
5,TRAD,A,3rd
5,TRAD,B,1st
5,TRAD,C,2nd
5,TRAD,D,4th
2,PRODTRAD,A,1st
2,PRODTRAD,B,2nd
2,PRODTRAD,C,3rd
2,PRODTRAD,D,4th
15,TRAD,A,3rd
15,TRAD,B,2nd
15,TRAD,C,1st
15,TRAD,D,4th
33,PROD,A,2nd
33,PROD,B,1st
33,PROD,C,3rd
33,PROD,D,4th
3,TRAD,A,4th
3,TRAD,B,2nd
3,TRAD,C,1st
3,TRAD,D,3rd
2,TRAD,A,3rd
2,TRAD,B,1st
2,TRAD,C,2nd
2,TRAD,D,4th
