Years,SCseg,Mktrait,MktraitAGREE
25,PROD,HARD,agree
30,PRODTRAD,HARD,strongly_agree
12,TRAD,HARD,agree
32,PROD,HARD,agree
35,PROD,HARD,strongly_agree
32,PROD,HARD,strongly_agree
6,PROD,HARD,strongly_agree
15,TRAD,HARD,not_sure
35,PROD,HARD,strongly_agree
30,PROD,HARD,agree
30,PROD,HARD,agree
15,TRAD,HARD,strongly_agree
4,PROD,HARD,strongly_agree
15,PROD,HARD,agree
40,PRODTRAD,HARD,agree
10,PROD,HARD,agree
37,PRODTRAD,HARD,agree
25,PRODTRAD,HARD,strongly_agree
9,PRODTRAD,HARD,agree
20,PRODTRAD,HARD,agree
17,PRODTRAD,HARD,strongly_agree
20,TRAD,HARD,agree
3,TRAD,HARD,strongly_agree
44,PROD,HARD,strongly_agree
17,PROD,HARD,agree
15,TRAD,HARD,strongly_agree
2,TRAD,HARD,not_sure
6,TRAD,HARD,agree
5,TRAD,HARD,strongly_agree
2,PRODTRAD,HARD,agree
15,TRAD,HARD,strongly_agree
33,PROD,HARD,not_sure
3,TRAD,HARD,disagree
2,TRAD,HARD,agree
25,PROD,BRIT,not_sure
30,PRODTRAD,BRIT,strongly_agree
12,TRAD,BRIT,agree
32,PROD,BRIT,agree
35,PROD,BRIT,strongly_disagree
32,PROD,BRIT,agree
6,PROD,BRIT,strongly_agree
15,TRAD,BRIT,agree
35,PROD,BRIT,agree
30,PROD,BRIT,strongly_disagree
30,PROD,BRIT,not_sure
15,TRAD,BRIT,not_sure
4,PROD,BRIT,agree
15,PROD,BRIT,agree
40,PRODTRAD,BRIT,agree
10,PROD,BRIT,disagree
37,PRODTRAD,BRIT,agree
25,PRODTRAD,BRIT,agree
9,PRODTRAD,BRIT,not_sure
20,PRODTRAD,BRIT,agree
17,PRODTRAD,BRIT,strongly_agree
20,TRAD,BRIT,strongly_agree
3,TRAD,BRIT,agree
44,PROD,BRIT,strongly_agree
17,PROD,BRIT,strongly_disagree
15,TRAD,BRIT,agree
2,TRAD,BRIT,not_sure
6,TRAD,BRIT,agree
5,TRAD,BRIT,disagree
2,PRODTRAD,BRIT,not_sure
15,TRAD,BRIT,agree
33,PROD,BRIT,not_sure
3,TRAD,BRIT,agree
2,TRAD,BRIT,agree
25,PROD,ROUND,agree
30,PRODTRAD,ROUND,strongly_agree
12,TRAD,ROUND,disagree
32,PROD,ROUND,not_sure
35,PROD,ROUND,disagree
32,PROD,ROUND,strongly_agree
6,PROD,ROUND,strongly_agree
15,TRAD,ROUND,not_sure
35,PROD,ROUND,disagree
30,PROD,ROUND,agree
30,PROD,ROUND,agree
15,TRAD,ROUND,agree
4,PROD,ROUND,agree
15,PROD,ROUND,not_sure
40,PRODTRAD,ROUND,disagree
10,PROD,ROUND,agree
37,PRODTRAD,ROUND,strongly_disagree
25,PRODTRAD,ROUND,not_sure
9,PRODTRAD,ROUND,not_sure
20,PRODTRAD,ROUND,not_sure
17,PRODTRAD,ROUND,agree
20,TRAD,ROUND,disagree
3,TRAD,ROUND,agree
44,PROD,ROUND,strongly_disagree
17,PROD,ROUND,agree
15,TRAD,ROUND,agree
2,TRAD,ROUND,not_sure
6,TRAD,ROUND,agree
5,TRAD,ROUND,disagree
2,PRODTRAD,ROUND,agree
15,TRAD,ROUND,not_sure
33,PROD,ROUND,agree
3,TRAD,ROUND,strongly_disagree
2,TRAD,ROUND,strongly_agree
25,PROD,CUP,agree
30,PRODTRAD,CUP,strongly_agree
12,TRAD,CUP,agree
32,PROD,CUP,not_sure
35,PROD,CUP,disagree
32,PROD,CUP,strongly_agree
6,PROD,CUP,strongly_agree
15,TRAD,CUP,not_sure
35,PROD,CUP,disagree
30,PROD,CUP,not_sure
30,PROD,CUP,not_sure
15,TRAD,CUP,agree
4,PROD,CUP,agree
15,PROD,CUP,agree
40,PRODTRAD,CUP,agree
10,PROD,CUP,strongly_agree
37,PRODTRAD,CUP,agree
25,PRODTRAD,CUP,not_sure
9,PRODTRAD,CUP,agree
20,PRODTRAD,CUP,agree
17,PRODTRAD,CUP,strongly_agree
20,TRAD,CUP,disagree
3,TRAD,CUP,strongly_agree
44,PROD,CUP,strongly_agree
17,PROD,CUP,agree
15,TRAD,CUP,agree
2,TRAD,CUP,not_sure
6,TRAD,CUP,not_sure
5,TRAD,CUP,disagree
2,PRODTRAD,CUP,agree
15,TRAD,CUP,agree
33,PROD,CUP,agree
3,TRAD,CUP,agree
2,TRAD,CUP,agree
25,PROD,COL,agree
30,PRODTRAD,COL,strongly_agree
12,TRAD,COL,agree
32,PROD,COL,agree
35,PROD,COL,agree
32,PROD,COL,agree
6,PROD,COL,strongly_agree
15,TRAD,COL,agree
35,PROD,COL,agree
30,PROD,COL,strongly_agree
30,PROD,COL,strongly_agree
15,TRAD,COL,strongly_agree
4,PROD,COL,strongly_agree
15,PROD,COL,not_sure
40,PRODTRAD,COL,agree
10,PROD,COL,not_sure
37,PRODTRAD,COL,agree
25,PRODTRAD,COL,not_sure
9,PRODTRAD,COL,agree
20,PRODTRAD,COL,agree
17,PRODTRAD,COL,not_sure
20,TRAD,COL,agree
3,TRAD,COL,strongly_agree
44,PROD,COL,strongly_agree
17,PROD,COL,not_sure
15,TRAD,COL,strongly_agree
2,TRAD,COL,strongly_agree
6,TRAD,COL,strongly_agree
5,TRAD,COL,strongly_agree
2,PRODTRAD,COL,strongly_agree
15,TRAD,COL,strongly_agree
33,PROD,COL,strongly_agree
3,TRAD,COL,strongly_agree
2,TRAD,COL,agree
25,PROD,SIZE,agree
30,PRODTRAD,SIZE,strongly_agree
12,TRAD,SIZE,agree
32,PROD,SIZE,not_sure
35,PROD,SIZE,strongly_agree
32,PROD,SIZE,strongly_agree
6,PROD,SIZE,strongly_agree
15,TRAD,SIZE,strongly_agree
35,PROD,SIZE,strongly_agree
30,PROD,SIZE,strongly_agree
30,PROD,SIZE,agree
15,TRAD,SIZE,strongly_agree
4,PROD,SIZE,strongly_agree
15,PROD,SIZE,agree
40,PRODTRAD,SIZE,strongly_agree
10,PROD,SIZE,strongly_agree
37,PRODTRAD,SIZE,strongly_agree
25,PRODTRAD,SIZE,strongly_agree
9,PRODTRAD,SIZE,agree
20,PRODTRAD,SIZE,agree
17,PRODTRAD,SIZE,not_sure
20,TRAD,SIZE,agree
3,TRAD,SIZE,strongly_agree
44,PROD,SIZE,strongly_agree
17,PROD,SIZE,strongly_agree
15,TRAD,SIZE,strongly_agree
2,TRAD,SIZE,agree
6,TRAD,SIZE,agree
5,TRAD,SIZE,agree
2,PRODTRAD,SIZE,strongly_agree
15,TRAD,SIZE,strongly_agree
33,PROD,SIZE,strongly_agree
3,TRAD,SIZE,agree
2,TRAD,SIZE,strongly_agree
25,PROD,USHP,not_sure
30,PRODTRAD,USHP,strongly_agree
12,TRAD,USHP,agree
32,PROD,USHP,not_sure
35,PROD,USHP,strongly_agree
32,PROD,USHP,strongly_agree
6,PROD,USHP,strongly_agree
15,TRAD,USHP,agree
35,PROD,USHP,not_sure
30,PROD,USHP,agree
30,PROD,USHP,agree
15,TRAD,USHP,strongly_agree
4,PROD,USHP,agree
15,PROD,USHP,agree
40,PRODTRAD,USHP,strongly_agree
10,PROD,USHP,strongly_agree
37,PRODTRAD,USHP,strongly_disagree
25,PRODTRAD,USHP,not_sure
9,PRODTRAD,USHP,agree
20,PRODTRAD,USHP,strongly_agree
17,PRODTRAD,USHP,not_sure
20,TRAD,USHP,agree
3,TRAD,USHP,strongly_agree
44,PROD,USHP,strongly_agree
17,PROD,USHP,agree
15,TRAD,USHP,strongly_agree
2,TRAD,USHP,agree
6,TRAD,USHP,agree
5,TRAD,USHP,agree
2,PRODTRAD,USHP,strongly_agree
15,TRAD,USHP,disagree
33,PROD,USHP,agree
3,TRAD,USHP,agree
2,TRAD,USHP,strongly_agree
25,PROD,MSIZE,strongly_agree
30,PRODTRAD,MSIZE,strongly_agree
