Years,SCseg,Col,ColRANK
25,PROD,DARK,1st
25,PROD,LIGHT,3rd
25,PROD,STRIP,2nd
25,PROD,GOLD,4th
30,PRODTRAD,DARK,1st
30,PRODTRAD,LIGHT,2nd
30,PRODTRAD,STRIP,4th
30,PRODTRAD,GOLD,3rd
12,TRAD,DARK,2nd
12,TRAD,LIGHT,4th
12,TRAD,STRIP,1st
12,TRAD,GOLD,3rd
32,PROD,DARK,1st
32,PROD,LIGHT,4th
32,PROD,STRIP,2nd
32,PROD,GOLD,3rd
35,PROD,DARK,2nd
35,PROD,LIGHT,4th
35,PROD,STRIP,3rd
35,PROD,GOLD,1st
32,PROD,DARK,2nd
32,PROD,LIGHT,3rd
32,PROD,STRIP,4th
32,PROD,GOLD,1st
15,TRAD,DARK,1st
15,TRAD,LIGHT,2nd
15,TRAD,STRIP,3rd
15,TRAD,GOLD,4th
35,PROD,DARK,1st
35,PROD,LIGHT,4th
35,PROD,STRIP,2nd
35,PROD,GOLD,3rd
30,PROD,DARK,1st
30,PROD,LIGHT,4th
30,PROD,STRIP,2nd
30,PROD,GOLD,3rd
30,PROD,DARK,1st
30,PROD,LIGHT,3rd
30,PROD,STRIP,2nd
30,PROD,GOLD,4th
15,TRAD,DARK,3rd
15,TRAD,LIGHT,1st
15,TRAD,STRIP,2nd
15,TRAD,GOLD,4th
4,PROD,DARK,1st
4,PROD,LIGHT,3rd
4,PROD,STRIP,2nd
4,PROD,GOLD,4th
15,PROD,DARK,2nd
15,PROD,LIGHT,4th
15,PROD,STRIP,3rd
15,PROD,GOLD,1st
40,PRODTRAD,DARK,1st
40,PRODTRAD,LIGHT,3rd
40,PRODTRAD,STRIP,2nd
40,PRODTRAD,GOLD,4th
10,PROD,DARK,1st
10,PROD,LIGHT,3rd
10,PROD,STRIP,2nd
10,PROD,GOLD,4th
37,PRODTRAD,DARK,2nd
37,PRODTRAD,LIGHT,3rd
37,PRODTRAD,STRIP,4th
37,PRODTRAD,GOLD,1st
25,PRODTRAD,DARK,1st
25,PRODTRAD,LIGHT,4th
25,PRODTRAD,STRIP,3rd
25,PRODTRAD,GOLD,2nd
9,PRODTRAD,DARK,1st
9,PRODTRAD,LIGHT,4th
9,PRODTRAD,STRIP,2nd
9,PRODTRAD,GOLD,3rd
20,PRODTRAD,DARK,1st
20,PRODTRAD,LIGHT,4th
20,PRODTRAD,STRIP,2nd
20,PRODTRAD,GOLD,3rd
17,PRODTRAD,DARK,1st
17,PRODTRAD,LIGHT,3rd
17,PRODTRAD,STRIP,2nd
17,PRODTRAD,GOLD,4th
20,TRAD,DARK,2nd
20,TRAD,LIGHT,3rd
20,TRAD,STRIP,1st
20,TRAD,GOLD,4th
3,TRAD,DARK,4th
3,TRAD,LIGHT,1st
3,TRAD,STRIP,2nd
3,TRAD,GOLD,3rd
44,PROD,DARK,1st
44,PROD,LIGHT,4th
44,PROD,STRIP,2nd
44,PROD,GOLD,3rd
17,PROD,DARK,1st
17,PROD,LIGHT,4th
17,PROD,STRIP,2nd
17,PROD,GOLD,3rd
15,TRAD,DARK,1st
15,TRAD,LIGHT,4th
15,TRAD,STRIP,2nd
15,TRAD,GOLD,3rd
6,TRAD,DARK,3rd
6,TRAD,LIGHT,2nd
6,TRAD,STRIP,1st
6,TRAD,GOLD,4th
5,TRAD,DARK,2nd
5,TRAD,LIGHT,3rd
5,TRAD,STRIP,1st
5,TRAD,GOLD,4th
2,PRODTRAD,DARK,1st
2,PRODTRAD,LIGHT,4th
2,PRODTRAD,STRIP,2nd
2,PRODTRAD,GOLD,3rd
15,TRAD,DARK,1st
15,TRAD,LIGHT,2nd
15,TRAD,STRIP,3rd
15,TRAD,GOLD,4th
33,PROD,DARK,1st
33,PROD,LIGHT,3rd
33,PROD,STRIP,2nd
33,PROD,GOLD,4th
3,TRAD,DARK,3rd
3,TRAD,LIGHT,2nd
3,TRAD,STRIP,1st
3,TRAD,GOLD,4th
2,TRAD,DARK,2nd
2,TRAD,LIGHT,3rd
2,TRAD,STRIP,1st
2,TRAD,GOLD,4th
