"","Pdtrait","State","Predicted","Probability","CombCol"
"1","DR","SA","6th",0.0542705550909559,"SA|DR"
"2","DR","SA","5th",0.111543168244219,"SA|DR"
"3","DR","SA","4th",0.201753053254722,"SA|DR"
"4","DR","SA","3rd",0.29536865208096,"SA|DR"
"5","DR","SA","2nd",0.236156876243792,"SA|DR"
"6","DR","SA","1st",0.100907695085351,"SA|DR"
"7","DR","TAS","6th",0.00768354390728842,"TAS|DR"
"8","DR","TAS","5th",0.0184366749217671,"TAS|DR"
"9","DR","TAS","4th",0.0465986363661568,"TAS|DR"
"10","DR","TAS","3rd",0.137006218903274,"TAS|DR"
"11","DR","TAS","2nd",0.336193438469912,"TAS|DR"
"12","DR","TAS","1st",0.454081487431602,"TAS|DR"
"13","FG","SA","6th",0.238601338455679,"SA|FG"
"14","FG","SA","5th",0.281892180254624,"SA|FG"
"15","FG","SA","4th",0.239918937407832,"SA|FG"
"16","FG","SA","3rd",0.154411764196569,"SA|FG"
"17","FG","SA","2nd",0.0650375447378446,"SA|FG"
"18","FG","SA","1st",0.020138234947452,"SA|FG"
"19","FG","TAS","6th",0.342212762538415,"TAS|FG"
"20","FG","TAS","5th",0.300907782592079,"TAS|FG"
"21","FG","TAS","4th",0.197366474039591,"TAS|FG"
"22","FG","TAS","3rd",0.106408573535706,"TAS|FG"
"23","FG","TAS","2nd",0.0408761881269202,"TAS|FG"
"24","FG","TAS","1st",0.0122282191672881,"TAS|FG"
"25","HS","SA","6th",0.00932534910706915,"SA|HS"
"26","HS","SA","5th",0.0222508309198772,"SA|HS"
"27","HS","SA","4th",0.0554621982402848,"SA|HS"
"28","HS","SA","3rd",0.156888058383525,"SA|HS"
"29","HS","SA","2nd",0.34982714108965,"SA|HS"
"30","HS","SA","1st",0.406246422259594,"SA|HS"
"31","HS","TAS","6th",0.00605800480471697,"TAS|HS"
"32","HS","TAS","5th",0.0146174601924865,"TAS|HS"
"33","HS","TAS","4th",0.0374650543831725,"TAS|HS"
"34","HS","TAS","3rd",0.114658207073098,"TAS|HS"
"35","HS","TAS","2nd",0.313418736909802,"TAS|HS"
"36","HS","TAS","1st",0.513782536636724,"TAS|HS"
"37","RH","SA","6th",0.146022231082892,"SA|RH"
"38","RH","SA","5th",0.225950440924027,"SA|RH"
"39","RH","SA","4th",0.261967731372077,"SA|RH"
"40","RH","SA","3rd",0.22029719996723,"SA|RH"
"41","RH","SA","2nd",0.109463993304409,"SA|RH"
"42","RH","SA","1st",0.0362984033493646,"SA|RH"
"43","RH","TAS","6th",0.169151075695863,"TAS|RH"
"44","RH","TAS","5th",0.244407717059634,"TAS|RH"
"45","RH","TAS","4th",0.259851330765499,"TAS|RH"
"46","RH","TAS","3rd",0.201240762530342,"TAS|RH"
"47","RH","TAS","2nd",0.0946844163662434,"TAS|RH"
"48","RH","TAS","1st",0.0306646975824181,"TAS|RH"
"49","TT","SA","6th",0.410862357025439,"SA|TT"
"50","TT","SA","5th",0.296370291904307,"SA|TT"
"51","TT","SA","4th",0.168747685555014,"SA|TT"
"52","TT","SA","3rd",0.0838627905631677,"SA|TT"
"53","TT","SA","2nd",0.0310063614406985,"SA|TT"
"54","TT","SA","1st",0.00915051351137341,"SA|TT"
"55","TT","TAS","6th",0.51645271718533,"TAS|TT"
"56","TT","TAS","5th",0.270762030608408,"TAS|TT"
"57","TT","TAS","4th",0.128163012285697,"TAS|TT"
"58","TT","TAS","3rd",0.0580307453629209,"TAS|TT"
"59","TT","TAS","2nd",0.0205975219110214,"TAS|TT"
"60","TT","TAS","1st",0.00599397264662249,"TAS|TT"
"61","UG","SA","6th",0.0123551024960202,"SA|UG"
"62","UG","SA","5th",0.0291769321907473,"SA|UG"
"63","UG","SA","4th",0.0709186816725668,"SA|UG"
"64","UG","SA","3rd",0.187637819813733,"SA|UG"
"65","UG","SA","2nd",0.360047420972374,"SA|UG"
"66","UG","SA","1st",0.339864042854558,"SA|UG"
"67","UG","TAS","6th",0.057415677571882,"TAS|UG"
"68","UG","TAS","5th",0.116816483863071,"TAS|UG"
"69","UG","TAS","4th",0.207311122181606,"TAS|UG"
"70","UG","TAS","3rd",0.294592548857302,"TAS|UG"
"71","UG","TAS","2nd",0.228242318433671,"TAS|UG"
"72","UG","TAS","1st",0.0956218490924673,"TAS|UG"
